date,CLOSE,OPEN,HIGH,LOW,VOLUME
2020-01-02,300.35001,296.23999,300.60001,295.19,33884314
2020-01-03,297.42999,297.14999,300.57999,296.5,36604600
2020-01-06,299.79999,293.79001,299.95999,292.75,29597401
2020-01-07,298.39001,299.84,300.89999,297.48001,27864170
2020-01-08,303.19,297.16,304.43991,297.15601,33060420
2020-01-09,309.63,307.23499,310.42999,306.20001,42591634
2020-01-10,310.32999,310.60001,312.67001,308.25,35186623
2020-01-13,316.95999,311.64001,317.07001,311.14999,30502330
2020-01-14,312.67999,316.70001,317.57001,312.17001,40621057
2020-01-15,311.34,311.85001,315.5,309.54999,30452727
2020-01-16,315.23999,313.59,315.70001,312.09,27627154
2020-01-17,318.73001,316.26999,318.73999,315.0,34420045
2020-01-21,316.57001,317.19,319.01999,316.0,27674778
2020-01-22,317.70001,318.57999,319.98999,317.31,25432169
2020-01-23,319.23001,317.92001,319.56,315.64999,26094188
2020-01-24,318.31,320.25,323.32999,317.5188,36599802
2020-01-27,308.95001,310.06,311.76999,304.88,40414808
2020-01-28,317.69,312.60001,318.39999,312.19,40519265
2020-01-29,324.34,324.45001,327.85001,321.38,54084956
2020-01-30,323.87,320.54401,324.09,318.75,31655940
2020-01-31,309.51001,320.92999,322.67999,308.29001,49774162
2020-02-03,308.66,304.29999,313.48999,302.22,43429346
2020-02-04,318.85001,315.31,319.64001,313.63449,34121782
2020-02-05,321.45001,323.51999,324.76001,318.95001,29676769
2020-02-06,325.20999,322.57001,325.22,320.2648,26335234
2020-02-07,320.03,322.37,323.39999,318.0,29385908
2020-02-10,321.54999,314.17999,321.54999,313.85001,27300253
2020-02-11,319.60999,323.60001,323.89999,318.70999,23553383
2020-02-12,327.20001,321.47,327.22,321.47,28389294
2020-02-13,324.87,324.19,326.22,323.35001,23664270
2020-02-14,324.95001,324.73999,325.98001,322.85001,20012702
2020-02-18,319.0,315.35999,319.75,314.60999,38134455
2020-02-19,323.62,320.0,324.57001,320.0,23475508
2020-02-20,320.29999,322.63,324.64999,318.20999,25104231
2020-02-21,313.04999,318.62,320.45001,310.5,32382677
2020-02-24,298.17999,297.26001,304.17999,289.23001,55358969
2020-02-25,288.07999,300.95001,302.53,286.13,57562282
2020-02-26,292.64999,286.53,297.88,286.5,49617890
2020-02-27,273.51999,281.10001,286.0,272.95999,80001860
2020-02-28,273.35999,257.26001,278.41,256.37,106327264
2020-03-02,298.81,282.28,301.44,277.72,85232545
2020-03-03,289.32001,303.67001,304.0,285.79999,79720151
2020-03-04,302.73999,296.44,303.39999,293.13,54708936
2020-03-05,292.92001,295.51999,299.54999,291.41,46806481
2020-03-06,289.03,282.0,290.82001,281.23001,56478313
2020-03-09,266.17001,263.75,278.09,263.0,71558828
2020-03-10,285.34,277.14001,286.44,269.37,71270996
2020-03-11,275.42999,277.39001,281.22,271.85999,64033461
2020-03-12,248.23,255.94,270.0,248.0,104451482
2020-03-13,277.97,264.89001,279.92001,252.95,92561680
2020-03-16,242.21001,241.95,259.07999,240.0,80551692
2020-03-17,252.86,247.50999,257.60999,238.39999,80907982
2020-03-18,246.67,239.77,250.0,237.12,74920302
2020-03-19,244.78,247.38499,252.84,242.61,67827866
2020-03-20,229.24001,247.17999,251.83,228.0,100272318
2020-03-23,224.37,228.08,228.49969,212.61,83978689
2020-03-24,246.88,236.36,247.69,234.3,71791972
2020-03-25,245.52,250.75,258.25,244.3,75687406
2020-03-26,258.44,246.52,258.67999,246.36,63019408
2020-03-27,247.74001,252.75,255.87,247.05,50970706
2020-03-30,254.81,250.74001,255.52,249.39999,41921042
2020-03-31,254.28999,255.60001,262.48999,252.0,49168898
2020-04-01,240.91,246.5,248.72,239.13,43978002
